STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,TEMPEXT_BASE40,TEMPEXT_BASE45,TEMPEXT_BASE50
72025400119,2020-01-26,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",50.1,4.5,9.9,15.9,55.4,46.4,0.0,0.0,10.100000000000001,5.100000000000001,0.10000000000000142
72025400119,2020-01-27,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",46.3,4.1,8.9,15.0,51.8,42.8,0.0,0.0,6.299999999999997,1.2999999999999972,3.700000000000003
72025400119,2020-01-28,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.7,5.9,11.1,18.1,53.6,46.4,0.0,0.0,8.700000000000003,3.700000000000003,1.2999999999999972
72025400119,2020-01-29,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.6,8.6,17.1,25.1,51.8,46.4,0.0,0.0,8.600000000000001,3.6000000000000014,1.3999999999999986
72025400119,2020-01-30,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",45.5,3.5,14.0,20.0,51.8,39.2,0.0,0.0,5.5,0.5,4.5
72025400119,2020-01-31,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",52.8,10.3,15.0,22.0,57.2,48.2,0.0,0.0,12.799999999999997,7.799999999999997,2.799999999999997
72025400119,2020-02-01,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",53.1,8.0,15.9,28.9,59.0,42.8,0.0,0.0,13.100000000000001,8.100000000000001,3.1000000000000014
72025400119,2020-02-02,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",37.8,2.4,8.9,11.1,46.4,32.0,0.0,0.0,2.200000000000003,7.200000000000003,12.200000000000003
72025400119,2020-02-03,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",35.9,2.6,7.0,0.0,44.6,32.0,0.0,0.0,4.100000000000001,9.100000000000001,14.100000000000001
72025400119,2020-02-04,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",33.7,4.0,15.0,22.0,42.8,30.2,0.0,0.0,6.299999999999997,11.299999999999997,16.299999999999997
72025400119,2020-02-05,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",41.1,11.0,15.9,24.1,50.0,37.4,0.0,0.0,1.1000000000000014,3.8999999999999986,8.899999999999999
72025400119,2020-02-06,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",50.3,6.2,9.9,12.0,53.6,50.0,0.0,0.0,10.299999999999997,5.299999999999997,0.29999999999999716
72025400119,2020-02-07,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",50.9,5.9,8.9,15.0,53.6,50.0,0.0,0.0,10.899999999999999,5.899999999999999,0.8999999999999986
72025400119,2020-02-08,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",45.4,6.6,13.0,20.0,50.0,42.8,0.0,0.0,5.399999999999999,0.3999999999999986,4.600000000000001
72025400119,2020-02-09,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",39.9,0.5,4.1,0.0,51.8,32.0,0.0,0.0,0.10000000000000142,5.100000000000001,10.100000000000001
72025400119,2020-02-10,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.0,1.4,9.9,15.9,50.0,35.6,0.0,0.0,0.0,5.0,10.0
72025400119,2020-02-11,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",38.9,3.6,8.9,12.0,51.8,33.8,0.0,0.0,1.1000000000000014,6.100000000000001,11.100000000000001
72025400119,2020-02-12,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",45.0,1.6,5.1,0.0,50.0,41.0,0.0,0.0,5.0,0.0,5.0
72025400119,2020-02-13,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.5,4.0,12.0,17.1,50.0,33.8,0.0,0.0,0.5,4.5,9.5
72025400119,2020-02-14,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.0,4.0,8.0,14.0,48.2,39.2,0.0,0.0,2.0,3.0,8.0
72025400119,2020-02-15,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.0,6.9,17.1,24.1,46.4,42.8,0.0,0.0,3.0,2.0,7.0
72025400119,2020-02-16,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.6,5.1,9.9,15.0,48.2,33.8,0.0,0.0,0.6000000000000014,4.399999999999999,9.399999999999999
72025400119,2020-02-17,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.7,2.9,6.0,0.0,51.8,32.0,0.0,0.0,0.7000000000000028,4.299999999999997,9.299999999999997
72025400119,2020-02-18,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",37.7,2.7,13.0,17.1,50.0,32.0,0.0,0.0,2.299999999999997,7.299999999999997,12.299999999999997
72025400119,2020-02-19,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",36.4,2.9,8.0,11.1,55.4,24.8,0.0,0.0,3.6000000000000014,8.600000000000001,13.600000000000001
72025400119,2020-02-20,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",37.8,1.4,6.0,0.0,59.0,26.6,0.0,0.0,2.200000000000003,7.200000000000003,12.200000000000003
72025400119,2020-02-21,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.0,1.8,5.1,0.0,59.0,28.4,0.0,0.0,0.0,5.0,10.0
72025400119,2020-02-22,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.1,3.1,8.0,9.9,57.2,33.8,0.0,0.0,3.1000000000000014,1.8999999999999986,6.899999999999999
72025400119,2020-02-23,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",44.9,5.9,17.1,28.0,53.6,41.0,0.0,0.0,4.899999999999999,0.10000000000000142,5.100000000000001
72025400119,2020-02-24,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.4,4.2,9.9,15.0,50.0,39.2,0.0,0.0,2.3999999999999986,2.6000000000000014,7.600000000000001
72025400119,2020-02-25,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",39.5,0.4,6.0,0.0,53.6,32.0,0.0,0.0,0.5,5.5,10.5
72025400119,2020-02-26,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.4,1.5,6.0,0.0,57.2,42.8,0.0,0.0,7.399999999999999,2.3999999999999986,2.6000000000000014
72025400119,2020-02-27,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.7,1.2,6.0,0.0,62.6,32.0,0.0,0.0,2.700000000000003,2.299999999999997,7.299999999999997
72025400119,2020-02-28,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.5,1.8,9.9,17.1,60.8,33.8,0.0,0.0,3.5,1.5,6.5
72025400119,2020-02-29,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.6,6.6,9.9,15.0,48.2,39.2,0.0,0.0,2.6000000000000014,2.3999999999999986,7.399999999999999
72025400119,2020-03-01,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",36.6,1.5,6.0,0.0,50.0,30.2,0.0,0.0,3.3999999999999986,8.399999999999999,13.399999999999999
72025400119,2020-03-02,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.8,5.5,12.0,19.0,48.2,39.2,0.0,0.0,2.799999999999997,2.200000000000003,7.200000000000003
72025400119,2020-03-03,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.6,5.2,13.0,21.0,57.2,44.6,0.0,0.0,7.600000000000001,2.6000000000000014,2.3999999999999986
72025400119,2020-03-04,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.2,4.1,11.1,15.9,55.4,39.2,0.0,0.0,7.200000000000003,2.200000000000003,2.799999999999997
72025400119,2020-03-05,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.9,3.0,12.0,17.1,55.4,33.8,0.0,0.0,2.8999999999999986,2.1000000000000014,7.100000000000001
72025400119,2020-03-06,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.6,1.8,8.0,14.0,55.4,37.4,0.0,0.0,3.6000000000000014,1.3999999999999986,6.399999999999999
72025400119,2020-03-07,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",41.2,1.8,7.0,12.0,44.6,37.4,0.0,0.0,1.2000000000000028,3.799999999999997,8.799999999999997
72025400119,2020-03-08,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",38.5,1.0,8.9,12.0,48.2,33.8,0.0,0.0,1.5,6.5,11.5
72025400119,2020-03-09,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",36.9,0.9,6.0,0.0,53.6,28.4,0.0,0.0,3.1000000000000014,8.100000000000001,13.100000000000001
72025400119,2020-03-10,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",41.2,2.0,8.0,11.1,60.8,30.2,0.0,0.0,1.2000000000000028,3.799999999999997,8.799999999999997
72025400119,2020-03-11,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.1,4.4,11.1,19.0,55.4,41.0,0.0,0.0,7.100000000000001,2.1000000000000014,2.8999999999999986
72025400119,2020-03-12,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.8,2.0,8.0,11.1,53.6,28.4,0.0,0.0,0.7999999999999972,4.200000000000003,9.200000000000003
72025400119,2020-03-13,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",38.1,1.8,7.0,12.0,53.6,33.8,0.0,0.0,1.8999999999999986,6.899999999999999,11.899999999999999
72025400119,2020-03-14,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",36.6,7.2,12.0,15.0,42.8,33.8,0.0,0.0,3.3999999999999986,8.399999999999999,13.399999999999999
72025400119,2020-03-15,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",36.1,7.7,18.1,22.9,48.2,28.4,0.0,0.0,3.8999999999999986,8.899999999999999,13.899999999999999
72025400119,2020-03-16,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",41.7,6.7,17.1,22.9,60.8,28.4,0.0,0.0,1.7000000000000028,3.299999999999997,8.299999999999997
72025400119,2020-03-17,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.4,2.8,8.9,12.0,59.0,28.4,0.0,0.0,3.3999999999999986,1.6000000000000014,6.600000000000001
72025400119,2020-03-18,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.1,1.3,5.1,0.0,59.0,30.2,0.0,0.0,2.1000000000000014,2.8999999999999986,7.899999999999999
72025400119,2020-03-19,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.2,0.5,6.0,0.0,62.6,30.2,0.0,0.0,7.200000000000003,2.200000000000003,2.799999999999997
72025400119,2020-03-20,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",46.3,1.0,7.0,11.1,66.2,32.0,0.0,0.0,6.299999999999997,1.2999999999999972,3.700000000000003
72025400119,2020-03-21,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",46.9,2.3,6.0,0.0,66.2,33.8,0.0,0.0,6.899999999999999,1.8999999999999986,3.1000000000000014
72025400119,2020-03-22,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",46.1,2.6,7.0,13.0,64.4,33.8,0.0,0.0,6.100000000000001,1.1000000000000014,3.8999999999999986
72025400119,2020-03-23,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.2,4.5,9.9,18.1,55.4,42.8,0.0,0.0,7.200000000000003,2.200000000000003,2.799999999999997
72025400119,2020-03-24,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.9,5.7,11.1,19.0,51.8,39.2,0.0,0.0,3.8999999999999986,1.1000000000000014,6.100000000000001
72025400119,2020-03-25,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.0,2.8,7.0,0.0,51.8,39.2,0.0,0.0,3.0,2.0,7.0
72025400119,2020-03-26,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.5,3.1,7.0,13.0,51.8,32.0,0.0,0.0,0.5,4.5,9.5
72025400119,2020-03-27,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",45.0,5.7,15.0,20.0,50.0,42.8,0.0,0.0,5.0,0.0,5.0
72025400119,2020-03-28,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.2,9.2,15.9,22.9,53.6,46.4,0.0,0.0,8.200000000000003,3.200000000000003,1.7999999999999972
72025400119,2020-03-29,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",49.8,7.3,13.0,19.0,57.2,46.4,0.0,0.0,9.799999999999997,4.799999999999997,0.20000000000000284
72025400119,2020-03-30,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.1,8.1,18.1,28.0,55.4,41.0,0.0,0.0,8.100000000000001,3.1000000000000014,1.8999999999999986
72025400119,2020-03-31,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.0,4.3,9.9,18.1,50.0,37.4,0.0,0.0,3.0,2.0,7.0
72025400119,2020-04-01,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.9,3.8,11.1,15.9,55.4,35.6,0.0,0.0,2.8999999999999986,2.1000000000000014,7.100000000000001
72025400119,2020-04-02,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",43.9,2.2,12.0,18.1,53.6,37.4,0.0,0.0,3.8999999999999986,1.1000000000000014,6.100000000000001
72025400119,2020-04-03,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",38.7,2.6,8.0,18.1,48.2,32.0,0.0,0.0,1.2999999999999972,6.299999999999997,11.299999999999997
72025400119,2020-04-04,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.0,1.9,8.9,14.0,55.4,30.2,0.0,0.0,0.0,5.0,10.0
72025400119,2020-04-05,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.7,4.7,8.9,12.0,59.0,42.8,0.0,0.0,8.700000000000003,3.700000000000003,1.2999999999999972
72025400119,2020-04-06,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.1,3.6,8.0,13.0,64.4,33.8,0.0,0.0,8.100000000000001,3.1000000000000014,1.8999999999999986
72025400119,2020-04-07,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.2,3.4,8.9,15.0,64.4,35.6,0.0,0.0,7.200000000000003,2.200000000000003,2.799999999999997
72025400119,2020-04-08,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.9,4.2,12.0,15.0,66.2,33.8,0.0,0.0,8.899999999999999,3.8999999999999986,1.1000000000000014
72025400119,2020-04-09,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",53.2,4.9,13.0,17.1,71.6,35.6,0.0,0.0,13.200000000000003,8.200000000000003,3.200000000000003
