state,plantCode,Longitude,Latitude,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01
FL,50884,-82.6741,27.8733,7.0,10.0,10.0,7.0,8.0,9.0,9.0,6.0,6.0,7.0,155.0,8.0,12.0,6.0,5.0,8.0,13.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,6.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0
FL,50949,-81.9636,27.6364,71809.0,84531.0,275928.0,509701.0,426623.0,511077.0,969384.0,917693.0,858395.0,954134.0,585334.0,266743.0,328358.0,619692.0,518591.0,452487.0,414009.0,865704.0,983670.0,806744.0,822891.0,659716.0,435798.0,521886.0,184810.0,272354.0,914364.0,460240.0,689048.0,760185.0,737454.0,715419.0,575856.0,642169.0,710818.0,591157.0,687816.0,485265.0,435313.0,290274.0,930537.0,1268363.0,1282640.0,1133528.0,746143.0,586958.0,771593.0,700189.0,941435.0,737791.0,179189.0,746972.0,493149.0,644535.0,762722.0,624238.0,407184.0,460297.0,830541.0
FL,7846,-81.947222,30.320556,2448755.0,1831385.0,115100.0,306082.0,1456843.0,2773201.0,3035081.0,2991846.0,2802157.0,3058745.0,1700224.0,2689020.0,2808807.0,2531134.0,3056861.0,2712488.0,3007980.0,2837623.0,3115244.0,3032176.0,2822603.0,3024991.0,2807883.0,3037978.0,2886953.0,2568683.0,2819138.0,1293472.0,2999811.0,2888192.0,3060053.0,3131693.0,2604630.0,2963368.0,2792150.0,2786721.0,2769358.0,2161522.0,2793962.0,1684197.0,2907192.0,2895528.0,2940967.0,2969078.0,2759710.0,2848580.0,2909571.0,3028155.0,2735318.0,2067715.0,1174601.0,2466223.0,3204718.0,2639247.0,3385956.0,3220320.0,3037357.0,2896476.0,2840790.0
FL,55242,-87.115,30.5664,586946.0,1116149.0,318459.0,0.0,787335.0,1180466.0,1212506.0,1211638.0,1167002.0,1209445.0,17632.0,1209232.0,1262670.0,1194398.0,1221090.0,952514.0,1195754.0,1142372.0,1184587.0,1185485.0,1116638.0,521483.0,0.0,12880.0,1228599.0,1049364.0,168.0,29905.0,265267.0,81653.0,587657.0,496794.0,518731.0,822965.0,0.0,5664.0,1288949.0,1112682.0,227159.0,0.0,196497.0,952898.0,1188782.0,1189219.0,1148552.0,1197275.0,25151.0,1219268.0,1104803.0,664444.0,0.0,16220.0,191158.0,553231.0,1077524.0,1157561.0,1056847.0,279159.0,1163147.0
FL,54624,-80.336253,25.549834,7.0,16.0,4.0,23.0,238.0,777.0,12.0,713.0,97.0,490.0,1256.0,400.0,3526.0,1777.0,669.0,4370.0,3956.0,6066.0,6223.0,4991.0,5008.0,6419.0,6901.0,4104.0,6395.0,2722.0,3333.0,4517.0,4688.0,6987.0,5732.0,5241.0,7157.0,4121.0,4485.0,5760.0,8137.0,7574.0,9996.0,8567.0,11191.0,10635.0,6635.0,5875.0,6351.0,9430.0,7679.0,8186.0,8097.0,7440.0,6872.0,6470.0,6980.0,8600.0,8895.0,10152.0,1052.0,7305.0,8876.0
FL,50666,-82.5583,28.3681,823.0,688.0,2688.0,16.0,51.0,373.0,161.0,239.0,198.0,1675.0,26.0,31.0,40.0,166.0,1442.0,110.0,243.0,490.0,795.0,980.0,359.0,1478.0,841.0,605.0,317.0,68.0,2466.0,698.0,335.0,814.0,208.0,247.0,468.0,1099.0,333.0,87.0,741.0,592.0,2504.0,724.0,256.0,832.0,1467.0,1169.0,1300.0,1283.0,977.0,304.0,74.0,506.0,929.0,948.0,288.0,599.0,1077.0,117.0,832.0,1210.0,2009.0
FL,50474,-82.8644,30.4522,26926.0,16988.0,18827.0,19494.0,49086.0,25866.0,28007.0,18514.0,16059.0,22029.0,0.0,25532.0,29926.0,18518.0,21227.0,24741.0,21988.0,37757.0,25080.0,21460.0,19435.0,24328.0,18261.0,30074.0,24366.0,13594.0,14661.0,28527.0,39767.0,18351.0,25580.0,32400.0,21425.0,26017.0,26851.0,27311.0,25110.0,22636.0,6178.0,4839.0,30640.0,6690.0,6500.0,7357.0,8699.0,3764.0,5596.0,24844.0,9051.0,2430.0,6651.0,20024.0,13312.0,15209.0,6201.0,12341.0,48133.0,3345.0,6834.0
FL,10004,-81.938787,27.76522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,10204,-82.3903,27.8605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,54627,-80.7469,26.5769,54178.0,70249.0,97862.0,26826.0,17458.0,5546.0,20169.0,38709.0,51617.0,112782.0,108882.0,102490.0,84950.0,47328.0,55065.0,2763.0,2477.0,10381.0,32032.0,43701.0,45400.0,193905.0,136363.0,112017.0,91407.0,94338.0,117349.0,96931.0,79666.0,8511.0,10123.0,11319.0,16618.0,54313.0,101237.0,125830.0,90250.0,76756.0,127704.0,52706.0,6786.0,27292.0,34482.0,12553.0,6831.0,14156.0,36975.0,21819.0,23118.0,48818.0,23118.0,21371.0,5805.0,2395.0,2896.0,3492.0,6477.0,43371.0,117211.0
FL,7873,-82.4231,27.9072,2775724.0,4166529.0,4263209.0,5613378.0,6529627.0,6475387.0,6009624.0,5497216.0,4938198.0,5044749.0,3288102.0,2421542.0,2030989.0,4078907.0,4001973.0,4952966.0,5137965.0,5485989.0,5919375.0,6290386.0,5250264.0,5157340.0,3206550.0,3313648.0,2887423.0,6119427.0,5317497.0,4223357.0,4003115.0,5071028.0,6008855.0,5835574.0,4842773.0,5528682.0,5484372.0,4298493.0,4554943.0,3896710.0,5658903.0,4789199.0,5648708.0,5792473.0,5747336.0,6352212.0,3514759.0,2636355.0,3646083.0,3355341.0,1877581.0,1719737.0,4665921.0,5257565.0,4881497.0,4728588.0,4746789.0,5220213.0,4614969.0,2058399.0,1977881.0
FL,613,-80.1984,26.0686,41491.0,46433.0,207523.0,120663.0,628004.0,757092.0,656471.0,201948.0,519899.0,973949.0,159201.0,27198.0,34155.0,25616.0,204813.0,273089.0,222203.0,611212.0,477118.0,526822.0,599672.0,599963.0,208716.0,76802.0,37425.0,29128.0,382115.0,453240.0,470803.0,294464.0,274663.0,721478.0,394212.0,463575.0,32999.0,188549.0,138638.0,105327.0,364340.0,324760.0,298675.0,99664.0,534325.0,319251.0,287975.0,383319.0,321283.0,74318.0,84128.0,47822.0,290807.0,279473.0,372879.0,330451.0,334822.0,420117.0,194328.0,181855.0,167956.0
FL,620,-81.3256,28.8419,5302988.0,3977528.0,3649327.0,3594314.0,5359951.0,4626877.0,6817813.0,7006920.0,7398771.0,6273792.0,4633975.0,3036071.0,3644043.0,4191737.0,3554105.0,3327564.0,4924092.0,7230766.0,7005089.0,8417762.0,8461574.0,6684407.0,6233363.0,4594942.0,4666220.0,4355207.0,3891814.0,5967279.0,7201287.0,6749870.0,7012730.0,6906807.0,6309608.0,3468967.0,3109168.0,3973839.0,3619619.0,3288438.0,6220996.0,4915462.0,6418722.0,6104309.0,6433824.0,6888056.0,6598054.0,5212388.0,5379861.0,3942609.0,1488612.0,2080432.0,3712443.0,4544656.0,6258172.0,5865782.0,7505150.0,8126001.0,5969947.0,5344417.0,3336886.0
