period,plantCode,plantName,fuel2002,fuelTypeDescription,state,stateDescription,primeMover,total-consumption,total-consumption-units,total-consumption-btu,generation,gross-generation,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,average-heat-content,average-heat-content-units,total-consumption-btu-units,generation-units,gross-generation-units,consumption-for-eg-btu-units,X,Y,FID,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Na,sector_nam,Street_Add,City,County,State,Zip,PrimSource,source_des,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude,LATITUDE,LONGITUDE,DATE,TEMP,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP
2021-10-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,87547,MMBtu per Mcf,92362,0.0,0.0,0,Mcf,0,1.055,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2021-10-01,57.96451612903226,8.94516129032258,14.422580645161291,0.0,63.28387096774193,54.20322580645161,0.0,0.0
2022-09-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,86083,MMBtu per Mcf,90387,0.0,0.0,0,Mcf,0,1.05,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2022-09-01,64.66,7.77,13.656666666666666,0.0,72.22333333333333,58.443333333333335,0.0,0.0
2021-09-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,76908,MMBtu per Mcf,81292,0.0,0.0,0,Mcf,0,1.057,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2021-09-01,64.78,9.333333333333334,16.86,0.0,71.78666666666666,58.50666666666667,0.0,0.0
2020-09-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,102253,MMBtu per Mcf,107979,122.22,126.0,1357,Mcf,1433,1.056,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-09-01,62.093333333333334,8.813333333333333,14.639999999999999,0.0,68.92,56.39333333333333,0.0,0.0
2021-06-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2021-06-01,65.98,7.180000000000001,13.383333333333333,0.0,74.5,60.03,0.0,0.0
2019-02-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,88115,MMBtu per Mcf,91640,0.0,0.0,0,Mcf,0,1.04,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2019-02-01,24.44074074074074,0.0,0.0,0.0,31.574074074074073,19.366666666666667,0.0,0.0
2022-07-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2022-07-01,70.30967741935484,6.958064516129032,12.938709677419356,0.0,77.20967741935483,64.53225806451613,0.0,0.0
2019-04-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2019-04-01,41.80344827586207,0.0,0.0,0.0,48.97586206896552,37.90344827586207,0.0,0.0
2022-12-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,106351,MMBtu per Mcf,111562,0.0,0.0,0,Mcf,0,1.049,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.01,-82.42,2022-12-01,31.07,9.453333333333335,14.643333333333334,0.0,35.82333333333334,26.88,0.0,0.0
2020-06-01,57950,MSC Croswell,NG,Natural Gas,MI,Michigan,ALL,0,MMBtu per Mcf,0,0.0,0.0,0,Mcf,0,0.0,MMBtu per Mcf,MMBtu,megawatthours,megawatthours,MMBtu,-82.6191669999999,43.2663890000001,5186.0,16923.0,57950.0,MSC Croswell,57324.0,Michigan Sugar Company,Industrial CHP,159 Howard,Croswell,Sanilac,Michigan,48422.0,natural gas,Natural Gas = 0 MW,Natural Gas Steam Turbine,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EIA-860, EIA-860M and EIA-923",202305.0,-82.6192,43.2664,43.4167,-82.5333,2020-06-01,63.42333333333333,6.503333333333333,11.91,0.0,73.10333333333332,57.233333333333334,0.0,0.0
